,Title,Rating,Genres,Studio,Sources,Status,Type,Synopsis,Episodes,Date,Duration,Img_Url
0,Fullmetal Alchemist: Brotherhood,9.17," Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen"," Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken", Manga, Finished Airing, TV,"""In order for something to be obtained, something of equal value must be lost.""Alchemy is bound by this Law of Equivalent Exchange—something the young brothers Edward and Alphonse Elric only realize after attempting human transmutation: the one forbidden act of alchemy. They pay a terrible price for their transgression—Edward loses his left leg, Alphonse his physical body. It is only by the desperate sacrifice of Edward's right arm that he is able to affix Alphonse's soul to a suit of armor. Devastated and alone, it is the hope that they would both eventually return to their original bodies that gives Edward the inspiration to obtain metal limbs called ""automail"" and become a state alchemist, the Fullmetal Alchemist.Three years of searching later, the brothers seek the Philosopher's Stone, a mythical relic that allows an alchemist to overcome the Law of Equivalent Exchange. Even with military allies Colonel Roy Mustang, Lieutenant Riza Hawkeye, and Lieutenant Colonel Maes Hughes on their side, the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive Philosopher's Stone, but their country's murky history as well. In between finding a serial killer and racing against time, Edward and Alphonse must ask themselves if what they are doing will make them human again... or take away their humanity.[Written by MAL Rewrite]", 64," Apr 5, 2009 to Jul 4, 2010", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/1223/96541.jpg
1,Gintama: The Final,9.15," Action, Sci-Fi, Comedy, Historical, Parody, Drama, Samurai, Shounen", Bandai Namco Pictures, Manga, Finished Airing, Movie,New Gintama movie., 1," Jan 8, 2021", 1 hr. 44 min.,https://cdn.myanimelist.net/images/anime/1027/109706.jpg
2,"Shingeki no Kyojin Season 3 Part 2
Attack on Titan Season 3 Part 2",9.10," Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power", Wit Studio, Manga, Finished Airing, TV,"Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again.Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them.Shingeki no Kyojin Season 3 Part 2 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement.[Written by MAL Rewrite]", 10," Apr 29, 2019 to Jul 1, 2019", 23 min. per ep.,https://cdn.myanimelist.net/images/anime/1517/100633.jpg
3,Steins;Gate,9.10," Sci-Fi, Psychological, Drama, Thriller", White Fox, Visual novel, Finished Airing, TV,"The self-proclaimed mad scientist Rintarou Okabe rents out a room in a rickety old building in Akihabara, where he indulges himself in his hobby of inventing prospective ""future gadgets"" with fellow lab members: Mayuri Shiina, his air-headed childhood friend, and Hashida Itaru, a perverted hacker nicknamed ""Daru."" The three pass the time by tinkering with their most promising contraption yet, a machine dubbed the ""Phone Microwave,"" which performs the strange function of morphing bananas into piles of green gel.Though miraculous in itself, the phenomenon doesn't provide anything concrete in Okabe's search for a scientific breakthrough; that is, until the lab members are spurred into action by a string of mysterious happenings before stumbling upon an unexpected success—the Phone Microwave can send emails to the past, altering the flow of history.Adapted from the critically acclaimed visual novel by 5pb. and Nitroplus, Steins;Gate takes Okabe through the depths of scientific theory and practicality. Forced across the diverging threads of past and present, Okabe must shoulder the burdens that come with holding the key to the realm of time.[Written by MAL Rewrite]", 24," Apr 6, 2011 to Sep 14, 2011", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/5/73199.jpg
4,Fruits Basket: The Final,9.09," Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo", TMS Entertainment, Manga, Finished Airing, TV,"Hundreds of years ago, the Chinese Zodiac spirits and their god swore to stay together eternally. United by this promise, the possessed members of the Souma family shall always return to each other under any circumstances. Yet, when these bonds shackle them from freedom, it becomes an undesirable burden—a curse. As head of the clan, Akito is convinced that he shares a special connection with the other Soumas. While he desperately clings to this fantasy, the rest of the family remains isolated and suppressed by the fear of punishment.Tooru Honda, who has grown attached to the Soumas, is determined to break the chains that bind them. Her companionship with the family and her friends encourages her to move forward with lifting the curse. However, due to confounding revelations, she struggles to find the tenacity to continue her endeavors. With time slowly withering away, Tooru contends with an uncertain future in hopes of reaching the tranquility that may lie beyond all this commotion.[Written by MAL Rewrite]", 13," Apr 6, 2021 to Jun 29, 2021", 23 min. per ep.,https://cdn.myanimelist.net/images/anime/1085/114792.jpg
5,"Gintama°
Gintama Season 4",9.09," Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen", Bandai Namco Pictures, Manga, Finished Airing, TV,"Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still haven't been paid... Does Gin-chan really spend all that cash playing pachinko?Meanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injured crew member emerges from the ship and gives Gintoki a strange, clock-shaped device, warning him that it is incredibly powerful and must be safeguarded. Mistaking it for his alarm clock, Gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill. With Kagura and Shinpachi at his side, he sets off to get the device fixed; though, as usual, nothing is ever that simple for the Yorozuya team.Filled with tongue-in-cheek humor and moments of heartfelt emotion, Gintama's fourth season finds Gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet.[Written by MAL Rewrite]", 51," Apr 8, 2015 to Mar 30, 2016", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/3/72078.jpg
6,"Hunter x Hunter (2011)
Hunter x Hunter",9.07," Action, Adventure, Fantasy, Shounen, Super Power", Madhouse, Manga, Finished Airing, TV,"Hunter x Hunter is set in a world where Hunters exist to perform all manner of dangerous tasks like capturing criminals and bravely searching for lost treasures in uncharted territories. Twelve-year-old Gon Freecss is determined to become the best Hunter possible in hopes of finding his father, who was a Hunter himself and had long ago abandoned his young son. However, Gon soon realizes the path to achieving his goals is far more challenging than he could have ever imagined.Along the way to becoming an official Hunter, Gon befriends the lively doctor-in-training Leorio, vengeful Kurapika, and rebellious ex-assassin Killua. To attain their own goals and desires, together the four of them take the Hunter Exam, notorious for its low success rate and high probability of death. Throughout their journey, Gon and his friends embark on an adventure that puts them through many hardships and struggles. They will meet a plethora of monsters, creatures, and characters—all while learning what being a Hunter truly means.[Written by MAL Rewrite]", 148," Oct 2, 2011 to Sep 24, 2014", 23 min. per ep.,https://cdn.myanimelist.net/images/anime/11/33657.jpg
7,"Ginga Eiyuu Densetsu
Legend of the Galactic Heroes",9.06," Military, Sci-Fi, Space, Drama"," K-Factory, Kitty Film Mitaka Studio", Novel, Finished Airing, OVA,"The 150-year-long stalemate between the two interstellar superpowers, the Galactic Empire and the Free Planets Alliance, comes to an end when a new generation of leaders arises: the idealistic military genius Reinhard von Lohengramm, and the FPA's reserved historian, Yang Wenli.While Reinhard climbs the ranks of the Empire with the aid of his childhood friend, Siegfried Kircheis, he must fight not only the war, but also the remnants of the crumbling Goldenbaum Dynasty in order to free his sister from the Kaiser and unify humanity under one genuine ruler. Meanwhile, on the other side of the galaxy, Yang—a strong supporter of democratic ideals—has to stand firm in his beliefs, despite the struggles of the FPA, and show his pupil, Julian Mintz, that autocracy is not the solution.As ideologies clash amidst the war's many casualties, the two strategic masterminds must ask themselves what the real reason behind their battle is.[Written by MAL Rewrite]", 110," Jan 8, 1988 to Mar 17, 1997", 26 min. per ep.,https://cdn.myanimelist.net/images/anime/13/13225.jpg
8,"Gintama'
Gintama Season 2",9.06," Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"," TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha", Manga, Finished Airing, TV,"After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child.Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it.With even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama' follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo.[Written by MAL Rewrite]", 51," Apr 4, 2011 to Mar 26, 2012", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/4/50361.jpg
9,"Gintama': Enchousen
Gintama: Enchousen",9.04," Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen", Sunrise, Manga, Finished Airing, TV,"While Gintoki Sakata was away, the Yorozuya found themselves a new leader: Kintoki, Gintoki's golden-haired doppelganger. In order to regain his former position, Gintoki will need the help of those around him, a troubling feat when no one can remember him! Between Kintoki and Gintoki, who will claim the throne as the main character?In addition, Yorozuya make a trip back down to red-light district of Yoshiwara to aid an elderly courtesan in her search for her long-lost lover. Although the district is no longer in chains beneath the earth's surface, the trio soon learn of the tragic backstories of Yoshiwara's inhabitants that still haunt them. With flashback after flashback, this quest has Yorozuya witnessing everlasting love and protecting it as best they can with their hearts and souls.Gintama': Enchousen includes moments of action-packed intensity along with their usual lighthearted, slapstick humor for Gintoki and his friends.[Written by MAL Rewrite]", 13," Oct 4, 2012 to Mar 28, 2013", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/6/75172.jpg
